EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),60000.0
software development and IT,Self-employed freelancer,male,Spanish,from home,bachelor's degree,18000.0
education,Employed for wages,male,Indonesian,in an office with other developers,bachelor's degree,12000.0
software development and IT,Employed for wages,male,Romanian,no preference,high school diploma or equivalent (GED),64800.0
software development and IT,Employed for wages,male,Serbian,in an office with other developers,bachelor's degree,60000.0
construction and extraction,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,36000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,48000.0
software development and IT,Self-employed freelancer,male,German,no preference,"some college credit, no degree",30000.0
software development and IT,Employed for wages,male,German,in an office with other developers,some high school,60000.0
software development and IT,Self-employed freelancer,male,English,from home,bachelor's degree,36000.0
finance,Employed for wages,male,Gujarati,in an office with other developers,bachelor's degree,36000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,24000.0
software development and IT,Self-employed freelancer,male,English,no preference,high school diploma or equivalent (GED),7200.0
finance,Self-employed freelancer,male,Arabic,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",24000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,bachelor's degree,36000.0
education,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),60000.0
software development and IT,Employed for wages,male,Yoruba,in an office with other developers,bachelor's degree,28800.0
education,Employed for wages,male,Hausa,no preference,bachelor's degree,9600.0
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),24000.0
sales,Self-employed freelancer,male,Arabic,in an office with other developers,high school diploma or equivalent (GED),24000.0
office and administrative support,Employed for wages,male,Portuguese,in an office with other developers,"trade, technical, or vocational training",36000.0
"arts, entertainment, sports, or media",Employed for wages,male,Russian,in an office with other developers,some high school,12000.0
education,Employed for wages,male,Ukrainian,in an office with other developers,master's degree (non-professional),21600.0
construction and extraction,Self-employed freelancer,male,Ukrainian,in an office with other developers,high school diploma or equivalent (GED),36000.0
health care,Employed for wages,male,Serbo-Croatian,in an office with other developers,bachelor's degree,48000.0
software development and IT,Employed for wages,male,Dutch,no preference,high school diploma or equivalent (GED),36000.0
software development and IT,Employed for wages,female,Portuguese,in an office with other developers,"trade, technical, or vocational training",14400.0
software development and IT,Self-employed freelancer,female,Ukrainian,no preference,bachelor's degree,38400.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,Portuguese,no preference,bachelor's degree,30000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,52080.0
